Total,Status,Hosts,Date,,,,
18,failed,9,2022-05-05 00:22
9,successful,9,2022-05-05 00:22
9,failed,0,2022-05-05 00:22
9,successful,9,2022-05-05 00:25
9,failed,0,2022-05-05 00:25
9,successful,9,2022-05-05 00:30
9,failed,0,2022-05-05 00:30
9,successful,9,2022-05-05 00:33
9,failed,0,2022-05-05 00:33
9,successful,9,2022-05-05 00:37
9,failed,0,2022-05-05 00:37
9,successful,9,2022-05-05 00:40
9,failed,0,2022-05-05 00:40
9,successful,9,2022-05-05 00:44
9,failed,0,2022-05-05 00:44
18,successful,9,2022-05-05 00:49
18,failed,9,2022-05-05 00:49
18,successful,9,2022-05-05 00:53
18,failed,9,2022-05-05 00:53
18,successful,9,2022-05-05 00:54
18,failed,9,2022-05-05 00:54
18,successful,9,2022-05-05 00:56
18,failed,9,2022-05-05 00:56
10,successful,9,2022-05-05 01:00
10,failed,1,2022-05-05 01:00
18,successful,9,2022-05-05 01:01
18,failed,9,2022-05-05 01:01
18,successful,9,2022-05-05 01:03
18,failed,9,2022-05-05 01:03
Hosts,Status,CountDate
18,successful,9,2022-05-05 01:18
18,failed,9,2022-05-05 01:18
Hosts,Status,CountDate
18,successful,9,2022-05-05 01:19
18,failed,9,2022-05-05 01:19
Hosts,Status,CountDate
9,successful,9,2022-05-05 01:20
9,failed,0,2022-05-05 01:20
Hosts,Status,CountDate
9,successful,9,2022-05-05 01:22
9,failed,0,2022-05-05 01:22
Hosts,Status,CountDate
9,successful,9,2022-05-05 20:51
9,failed,0,2022-05-05 20:51
Hosts,Status,CountDate
18,successful,9,2022-05-05 20:57
18,failed,9,2022-05-05 20:57
Hosts,Status,CountDate
9,successful,9,2022-05-05 20:59
9,failed,0,2022-05-05 20:59
Hosts,Status,CountDate
18,successful,9,2022-05-05 21:02
18,failed,9,2022-05-05 21:02
Hosts,Status,CountDate
18,successful,9,2022-05-05 21:04
18,failed,9,2022-05-05 21:04
Hosts,Status,CountDate
9,successful,9,2022-05-05 21:11
9,failed,0,2022-05-05 21:11
